@272	  ＼ <br>  (／o＾) <br>  ( ／ <br>  ／ く	名詞	テッテレ～ みんなの顔文字辞典
かおもじ	＿_<br>　　　　  ／ ･　  ヽ<br>　　　　/　　　ﾉ･|<br>　　 ／　　　｀ ／<br> __／／　　　  /|<br>￣  7　　　　 /|L_<br>　  /　　　　/　￣<br> 　 l  /￣>_／ <br>	顔文字	斜め45° みんなの顔文字辞典
@221	＿_<br>　　　　  ／ ･　  ヽ<br>　　　　/　　　ﾉ･|<br>　　 ／　　　｀ ／<br> __／／　　　  /|<br>￣  7　　　　 /|L_<br>　  /　　　　/　￣<br> 　 l  /￣>_／ <br>	名詞	のぞき みんなの顔文字辞典
@426	＿_<br>　　　　  ／ ･　  ヽ<br>　　　　/　　　ﾉ･|<br>　　 ／　　　｀ ／<br> __／／　　　  /|<br>￣  7　　　　 /|L_<br>　  /　　　　/　￣<br> 　 l  /￣>_／<br>　　　 　"	名詞	怒る みんなの顔文字辞典
かおもじ	＿_<br>　　　　  ／ ･　  ヽ<br>　　　　/　　　ﾉ･|<br>　　 ／　　　｀ ／<br> __／／　　　  /|<br>￣  7　　　　 /|L_<br>　  /　　　　/　￣<br> 　 l  /￣>_／<br>　　　 　"	顔文字	怒る みんなの顔文字辞典
@235	＿＿<br>　　＿＿＿＿＿　(***()<br>　　|　　ﾍ_∧      |￣￣<br>　 /＼　(-ω-*)　|<br>　//＼＼　　つ   |   Zzzz……<br>  //＊ /と_、 　) |<br>//＊　＊＼　∪ |<br>＼＼＊ //　　　|<br>　＼＼//￣￣￣	名詞	寝る みんなの顔文字辞典
かおもじ	＿＿<br>　　＿＿＿＿＿　(***()<br>　　|　　ﾍ_∧      |￣￣<br>　 /＼　(-ω-*)　|<br>　//＼＼　　つ   |   Zzzz……<br>  //＊ /と_、 　) |<br>//＊　＊＼　∪ |<br>＼＼＊ //　　　|<br>　＼＼//￣￣￣	顔文字	寝る みんなの顔文字辞典
かおもじ	_:(´ﾛ`」 ∠):_	顔文字	がくがく みんなの顔文字辞典
@306	_:(´ﾛ`」 ∠):_	名詞	がくがく みんなの顔文字辞典
かおもじ	_:(´ﾛ`」 ∠):_	顔文字	がくがく みんなの顔文字辞典
とけつ	_:(´ཀ`」 ∠):_	顔文字	吐血。
とけつ	_:(´ཀ`」 ∠):_	顔文字	吐血。
かおもじ	_(       _ｰωｰ)_	顔文字	ちーん みんなの顔文字辞典
@412	_(       _ｰωｰ)_	名詞	ちーん みんなの顔文字辞典
かおもじ	_(       _ｰωｰ)_	顔文字	ちーん みんなの顔文字辞典
えー	_(　、´◡`)、	顔文字	
えー	_( `◟ 、_　)ﾉｼ	顔文字	
かおもじ	_(-ω-｣ ∠)_	顔文字	ちーん みんなの顔文字辞典
@414	_(-ω-｣ ∠)_	名詞	ちーん みんなの顔文字辞典
かおもじ	_(-ω-｣ ∠)_	顔文字	ちーん みんなの顔文字辞典
かおもじ	_(-ω-`_)⌒)_	顔文字	かあダルイ みんなの顔文字辞典
@456	_(-ω-`_)⌒)_	名詞	かあダルイ みんなの顔文字辞典
かおもじ	_(-ω-`_)⌒)_	顔文字	かあダルイ みんなの顔文字辞典
@416	_(-ω-`_)⌒)_	名詞	ぐだ みんなの顔文字辞典
@598	_(:3｣ ∠)_　おきなきゃ<br><br>((└(:3」┌)┘))　よっ ほっ<br><br>　_(:3｣ ∠)_　･･･<br><br>((ヾ(:3ﾉｼヾ)ｼ))　よっ ほっ<br><br>　_(:3｣ ∠)_　･･･<br><br>     (:3[___]    あかんやつや	名詞	あかんやつや みんなの顔文字辞典
かおもじ	_(:3｣ ∠)_　おきなきゃ<br><br>((└(:3」┌)┘))　よっ ほっ<br><br>　_(:3｣ ∠)_　･･･<br><br>((ヾ(:3ﾉｼヾ)ｼ))　よっ ほっ<br><br>　_(:3｣ ∠)_　･･･<br><br>     (:3[___]    あかんやつや	顔文字	あかんやつや みんなの顔文字辞典
たかざわじゅんすけ	_(:3」∠)_	顔文字	名前：たかざわじゅんすけ。
たかざわじゅんすけ	_(:3」∠)_	顔文字	名前：たかざわじゅんすけ。
かおもじ	_(」∠ ､ﾝ､)_	顔文字	失落 みんなの顔文字辞典
@404	_(」∠ ､ﾝ､)_	名詞	失落 みんなの顔文字辞典
かおもじ	_(」∠ ､ﾝ､)_	顔文字	失落 みんなの顔文字辞典
かおもじ	_(¯﹃¯ 」)_	顔文字	ちーん みんなの顔文字辞典
@413	_(¯﹃¯ 」)_	名詞	ちーん みんなの顔文字辞典
かおもじ	_(¯﹃¯ 」)_	顔文字	ちーん みんなの顔文字辞典
すらいでぃんぐ	_(°ω°｣ ∠)_三	顔文字	滑りこむ時に使う。
すらいでぃんぐ	_(°ω°｣ ∠)_三	顔文字	滑りこむ時に使う。
かおもじ	_(°ω°｣ ∠)_三_(°ω°｣ ∠)_三 ｻﾞｯｻﾞｯ	顔文字	匍匐前進 みんなの顔文字辞典
@584	_(°ω°｣ ∠)_三_(°ω°｣ ∠)_三 ｻﾞｯｻﾞｯ	名詞	匍匐前進 みんなの顔文字辞典
かおもじ	_(°ω°｣ ∠)_三_(°ω°｣ ∠)_三 ｻﾞｯｻﾞｯ	顔文字	匍匐前進 みんなの顔文字辞典
@357	_(°ω°｣ ∠)_三_(°ω°｣ ∠)_三 ｻﾞｯｻﾞｯ	名詞	匍匐前進 みんなの顔文字辞典
えー	_(⌒(_'ω' )_	顔文字	
たおれる	_(┐「ε:)_	名詞	顔文字
たおれる	_(┐「ε:)_	名詞	倒れる みんなの顔文字辞典
かおもじ	_(┐「ε:)_	顔文字	倒れる みんなの顔文字辞典
たおれる	_(┐「ε:)_	名詞	倒れる みんなの顔文字辞典
かおもじ	_(┐「ε:)_	顔文字	倒れる みんなの顔文字辞典
かおもじ	_(๐ ﹃ ๐lll_)⌒)_	顔文字	疲れた みんなの顔文字辞典
@302	_(๐ ﹃ ๐lll_)⌒)_	名詞	疲れた みんなの顔文字辞典
かおもじ	_(๐ ﹃ ๐lll_)⌒)_	顔文字	疲れた みんなの顔文字辞典
@485	_[[ ┃;━┏┃ ]]_ ｶﾞｸｶﾞｸﾌﾞﾙﾌﾞﾙ<br>寒ｨｯﾁｬ((((･´ω｀･))))寒ｨｯﾁｬ<br>彡(-ω-；)彡ﾋｭｰﾋｭｰ<br>ﾌﾞﾙﾌﾞﾙﾌﾞﾙ((*´д｀*)) ｻﾑｩｩｩ･･･<br>【4月1日】＼_(´ﾟωﾟ)　ﾊｲ、ここ何の日？	名詞	白いハート みんなの顔文字辞典
かおもじ	_[[ ┃;━┏┃ ]]_ ｶﾞｸｶﾞｸﾌﾞﾙﾌﾞﾙ<br>寒ｨｯﾁｬ((((･´ω｀･))))寒ｨｯﾁｬ<br>彡(-ω-；)彡ﾋｭｰﾋｭｰ<br>ﾌﾞﾙﾌﾞﾙﾌﾞﾙ((*´д｀*)) ｻﾑｩｩｩ･･･<br>【4月1日】＼_(´ﾟωﾟ)　ﾊｲ、ここ何の日？	顔文字	白いハート みんなの顔文字辞典
かおもじ	＿|￣| Σ･∴’、-=≡(っ’ヮ’c)ｳｩｯﾋｮｵｱｱｧｱｱｧｗｗｗＷＷｗｗｗＷＷｗ	顔文字	ウゥッヒョオアアァアアァ みんなの顔文字辞典
@308	＿|￣| Σ･∴’、-=≡(っ’ヮ’c)ｳｩｯﾋｮｵｱｱｧｱｱｧｗｗｗＷＷｗｗｗＷＷｗ	名詞	ウゥッヒョオアアァアアァ みんなの顔文字辞典
かおもじ	＿|￣| Σ･∴’、-=≡(っ’ヮ’c)ｳｩｯﾋｮｵｱｱｧｱｱｧｗｗｗＷＷｗｗｗＷＷｗ	顔文字	ウゥッヒョオアアァアアァ みんなの顔文字辞典
@665	_∧＿∧_<br>　　　　 ((∀｀/ 　)    <br>　　　 /⌒　　  ／<br>　　 /(__ノ＼_ノ<br>　　(_ノ |||<br>　∧＿∧　∧＿∧<br> (( ・∀・ ))・∀・) )<br>`＼　　 ∧ 　　ノ<br>　/　　｜/　　｜   <br>（＿ノ＿)_ノL＿)	名詞	やった みんなの顔文字辞典
かおもじ	_∧＿∧_<br>　　　　 ((∀｀/ 　)    <br>　　　 /⌒　　  ／<br>　　 /(__ノ＼_ノ<br>　　(_ノ |||<br>　∧＿∧　∧＿∧<br> (( ・∀・ ))・∀・) )<br>`＼　　 ∧ 　　ノ<br>　/　　｜/　　｜   <br>（＿ノ＿)_ノL＿)	顔文字	やった みんなの顔文字辞典
くし	-(:3 (:3 (:3 (:3 (:3 _ )─	顔文字	
くし	-(:3 (:3 (:3 (:3 (:3 _ )─	顔文字	
かおもじ	-=≡( ՞ਊ ՞)ｳｯﾋｮｵｵｫｫｫｧｱｧｧｧｱ	顔文字	その他 みんなの顔文字辞典
@531	-=≡( ՞ਊ ՞)ｳｯﾋｮｵｵｫｫｫｧｱｧｧｧｱ	名詞	その他 みんなの顔文字辞典
かおもじ	-=≡( ՞ਊ ՞)ｳｯﾋｮｵｵｫｫｫｧｱｧｧｧｱ	顔文字	その他 みんなの顔文字辞典
ひゅっ	・:*・:*三(　o'ω')o	名詞	顔文字
かおもじ	・:*・:*三(　o'ω')oｵﾊﾖｳｺﾞｻﾞｲﾏｽｯ:*:	顔文字	ヒュッ みんなの顔文字辞典
@738	・:*・:*三(　o'ω')oｵﾊﾖｳｺﾞｻﾞｲﾏｽｯ:*:	名詞	ヒュッ みんなの顔文字辞典
かおもじ	・:*・:*三(　o'ω')oｵﾊﾖｳｺﾞｻﾞｲﾏｽｯ:*:	顔文字	ヒュッ みんなの顔文字辞典
かおもじ	・:*。・:*三(　o'ω')o	顔文字	かお みんなの顔文字辞典
@301	・:*。・:*三(　o'ω')o	名詞	かお みんなの顔文字辞典
かおもじ	・:*。・:*三(　o'ω')o	顔文字	かお みんなの顔文字辞典
わきあせ	･:*+.\(( °ω° ))/.:+脇汗ﾌﾞｼｬｰ	名詞	顔文字
かおもじ	･:*+.\(( °ω° ))/.:+脇汗ﾌﾞｼｬｰ	顔文字	脇汗 みんなの顔文字辞典
@670	･:*+.\(( °ω° ))/.:+脇汗ﾌﾞｼｬｰ	名詞	脇汗 みんなの顔文字辞典
かおもじ	･:*+.\(( °ω° ))/.:+脇汗ﾌﾞｼｬｰ	顔文字	脇汗 みんなの顔文字辞典
やられた	･*:.( ✖ ਊ ✖)	顔文字	ダメージを受け過ぎた時に使う。
やられた	･*:.( ✖ ਊ ✖)	顔文字	ダメージを受け過ぎた時に使う。
@702	, -､っ⌒つ<br>＜'・ω っ_つ<br>  ∠､・_ノ 眠たい	名詞	ねむい みんなの顔文字辞典
かおもじ	, -､っ⌒つ<br>＜'・ω っ_つ<br>  ∠､・_ノ 眠たい	顔文字	ねむい みんなの顔文字辞典
@321	,.-─- ､ガンバレ <br>　　　∧_,,∧＼●／ <br>/＼　(｀･ω･´)∩‐ <br>| ● ⊂　　      ／ <br>ヽ／ r‐'　　/ <br>　 ｀""""ヽ_ﾉ	名詞	がんばれ みんなの顔文字辞典
かおもじ	,.-─- ､ガンバレ <br>　　　∧_,,∧＼●／ <br>/＼　(｀･ω･´)∩‐ <br>| ● ⊂　　      ／ <br>ヽ／ r‐'　　/ <br>　 ｀""""ヽ_ﾉ	顔文字	がんばれ みんなの顔文字辞典
さむい	:;((•﹏•๑)));:	顔文字	寒いを可愛く。
ふるえる	:;((•﹏•๑)));:	顔文字	
ぶるぶる	:;((•﹏•๑)));:	顔文字	
さむい	:;((•﹏•๑)));:	顔文字	寒いを可愛く。
ふるえる	:;((•﹏•๑)));:	顔文字	
ぶるぶる	:;((•﹏•๑)));:	顔文字	
さむい	:;(∩´﹏`∩);:	名詞	顔文字
ふるえる	:;(∩´﹏`∩);:	名詞	顔文字
かおもじ	:;(∩´﹏`∩);:	顔文字	寒い みんなの顔文字辞典
@674	:;(∩´﹏`∩);:	名詞	寒い みんなの顔文字辞典
かおもじ	:;(∩´﹏`∩);:	顔文字	寒い みんなの顔文字辞典
ふるえる	:;(∩º﹏º∩);:	顔文字	
くしゃみ	:ﾞ;｀;･o(ﾛ≦〃) ｸｼｭﾝ!!	名詞	顔文字
くしゃみ	:ﾞ;｀;:ﾞ;｀;･o(ﾛ≦〃) ｸｼｭﾝ!!	名詞	顔文字
くしゅん	:ﾞ;｀;:ﾞ;｀;･o(ﾛ≦〃) ｸｼｭﾝ!!	名詞	顔文字
かおもじ	:ﾞ;｀;:ﾞ;｀;･o(ﾛ≦〃) ｸｼｭﾝ!!	顔文字	クション みんなの顔文字辞典
@673	:ﾞ;｀;:ﾞ;｀;･o(ﾛ≦〃) ｸｼｭﾝ!!	名詞	クション みんなの顔文字辞典
かおもじ	:ﾞ;｀;:ﾞ;｀;･o(ﾛ≦〃) ｸｼｭﾝ!!	顔文字	クション みんなの顔文字辞典
すーるよっ	:(:;ﾞﾟ'▿ﾞﾟ';人;):	名詞	顔文字
ふるえる	:(´ °ω° `):	顔文字	
あせ	:(´◦ω◦｀):	名詞	顔文字
あせ	:(´◦ω◦｀):	名詞	あせ みんなの顔文字辞典
かおもじ	:(´◦ω◦｀):	顔文字	あせ みんなの顔文字辞典
あせ	:(´◦ω◦｀):	名詞	あせ みんなの顔文字辞典
かおもじ	:(´◦ω◦｀):	顔文字	あせ みんなの顔文字辞典
かおもじ	!!ฅ(º ω º ฅ)	顔文字	びっくり みんなの顔文字辞典
@289	!!ฅ(º ω º ฅ)	名詞	びっくり みんなの顔文字辞典
かおもじ	!!ฅ(º ω º ฅ)	顔文字	びっくり みんなの顔文字辞典
かおもじ	!|||!( ♉ฺ ω ♉ฺ ;)!|||!	顔文字	がーん みんなの顔文字辞典
@270	!|||!( ♉ฺ ω ♉ฺ ;)!|||!	名詞	がーん みんなの顔文字辞典
かおもじ	!|||!( ♉ฺ ω ♉ฺ ;)!|||!	顔文字	がーん みんなの顔文字辞典
@422	．　　　＿＿＿<br>　　 _／ ⌒ ⌒ ＼ うん、うん、<br>　　/)) (●) (●) 　ヽ それで？<br>　 ｜∩　(_人_)　 |<br>　 / ノ､＿ヽノ＿ノ￣)<br>　/ /　　　　　 /ﾌ_/<br>　L＿／＼　　　 ＼(	名詞	それで みんなの顔文字辞典
かおもじ	．　　　＿＿＿<br>　　 _／ ⌒ ⌒ ＼ うん、うん、<br>　　/)) (●) (●) 　ヽ それで？<br>　 ｜∩　(_人_)　 |<br>　 / ノ､＿ヽノ＿ノ￣)<br>　/ /　　　　　 /ﾌ_/<br>　L＿／＼　　　 ＼(	顔文字	それで みんなの顔文字辞典
しゅん	.(´-_-`*) ｼｭﾝ…	顔文字	
かおもじ	.˚‧º·(´ฅωฅ`)‧º·˚.	顔文字	なく みんなの顔文字辞典
@586	.˚‧º·(´ฅωฅ`)‧º·˚.	名詞	なく みんなの顔文字辞典
かおもじ	.˚‧º·(´ฅωฅ`)‧º·˚.	顔文字	なく みんなの顔文字辞典
くりすますつりー	.↓　　　 🌟↓　　　 🌿*↓　　  *+🎀:*↓　   *🎁*🌿+*↓　**🎀**+｡🎁*↓　**:｡+*🌿:**↓**🎁*🌿:*｡*🎀*↓　　 　l l↓　   [≡≡≡≡≡]↓　  ├王王┤↓　  ├王王┤   ⛄⛄⛄	顔文字	
@341	．<br><br>　＜⌒／ヽ-､_＿_<br>／＜_/＿＿＿＿／<br>￣￣￣￣￣￣￣<br>　　　∧_∧<br>　　 (　･ω･)　！<br>　 ＿|　⊃／(＿＿_<br>／　└-(＿＿＿_／<br>￣￣￣￣￣￣￣	名詞	おきた みんなの顔文字辞典
かおもじ	．<br><br>　＜⌒／ヽ-､_＿_<br>／＜_/＿＿＿＿／<br>￣￣￣￣￣￣￣<br>　　　∧_∧<br>　　 (　･ω･)　！<br>　 ＿|　⊃／(＿＿_<br>／　└-(＿＿＿_／<br>￣￣￣￣￣￣￣	顔文字	おきた みんなの顔文字辞典
@219	．<br><br>　＜⌒／ヽ-､_＿_<br>／＜_/＿＿＿＿／<br>￣￣￣￣￣￣￣<br>　　　∧_∧<br>　　 (　･ω･)　！<br>　 ＿|　⊃／(＿＿_<br>／　└-(＿＿＿_／<br>￣￣￣￣￣￣￣	名詞	おきた みんなの顔文字辞典
@483	。　Ｏ　　　ｏ<br>　 ｏ　　　。<br>○　　　　　　　　　。<br>　　　ﾎｯｺﾘｰﾅ　　 Ｏ<br>。　 　 ＿<br>　　 ,.'´　　｀゛、　ｏ<br>  　（ ＿´ ∀ ｀ _  ）<br>   ￣￣￣￣￣￣￣	名詞	ホッコリーナ みんなの顔文字辞典
かおもじ	。　Ｏ　　　ｏ<br>　 ｏ　　　。<br>○　　　　　　　　　。<br>　　　ﾎｯｺﾘｰﾅ　　 Ｏ<br>。　 　 ＿<br>　　 ,.'´　　｀゛、　ｏ<br>  　（ ＿´ ∀ ｀ _  ）<br>   ￣￣￣￣￣￣￣	顔文字	ホッコリーナ みんなの顔文字辞典
かおもじ	｡･ﾟ･(ﾉД`)･ﾟ･｡	顔文字	｡･ﾟ･(ﾉД`)･ﾟ･｡ みんなの顔文字辞典
@91	｡･ﾟ･(ﾉД`)･ﾟ･｡	名詞	｡･ﾟ･(ﾉД`)･ﾟ･｡ みんなの顔文字辞典
かおもじ	｡･ﾟ･(ﾉД`)･ﾟ･｡	顔文字	｡･ﾟ･(ﾉД`)･ﾟ･｡ みんなの顔文字辞典
ずこー	｡･*･:≡( 「ε:)ﾉ	名詞	顔文字
わらう	｡･*･:≡( 「ε:)ﾉ	名詞	笑う みんなの顔文字辞典
かおもじ	｡･*･:≡( 「ε:)ﾉ	顔文字	笑う みんなの顔文字辞典
わらう	｡･*･:≡( 「ε:)ﾉ	名詞	笑う みんなの顔文字辞典
かおもじ	｡･*･:≡( 「ε:)ﾉ	顔文字	笑う みんなの顔文字辞典
しゅっぱつ	｡･*･:≡(　ε:)	顔文字	
かおもじ	｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)"	顔文字	キラキラ みんなの顔文字辞典
@579	｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)"	名詞	キラキラ みんなの顔文字辞典
かおもじ	｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)｡･*･:≡(　ε:)"	顔文字	キラキラ みんなの顔文字辞典
なく	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	名詞	顔文字
かおもじ	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	顔文字	泣く みんなの顔文字辞典
なく	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	顔文字	マジキチが泣く。
なく	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	顔文字	マジキチが泣く。
@749	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	名詞	泣く みんなの顔文字辞典
かおもじ	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	顔文字	泣く みんなの顔文字辞典
@284	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	名詞	へ みんなの顔文字辞典
@277	｡ﾟ(ﾟ＾ਊ＾ํ )ﾟ｡	名詞	へ みんなの顔文字辞典
かおもじ	'`,､('∀`) '`,､	顔文字	'`,､('∀`) '`,､ みんなの顔文字辞典
だーめっ	'+ﾟ:ヾ(*☋*)ノ*ﾟ:。'	名詞	顔文字
かおもじ	‹‹\(´ω` )/››‹‹\( ´)/›› ‹‹\( ´ω`)/››	顔文字	楽 みんなの顔文字辞典
@590	‹‹\(´ω` )/››‹‹\( ´)/›› ‹‹\( ´ω`)/››	名詞	楽 みんなの顔文字辞典
かおもじ	‹‹\(´ω` )/››‹‹\( ´)/›› ‹‹\( ´ω`)/››	顔文字	楽 みんなの顔文字辞典
かおもじ	“ﾍ(￣ｰ￣ )ｵｲﾃﾞｵｲﾃﾞ	顔文字	おいで みんなの顔文字辞典
@287	“ﾍ(￣ｰ￣ )ｵｲﾃﾞｵｲﾃﾞ	名詞	おいで みんなの顔文字辞典
かおもじ	“ﾍ(￣ｰ￣ )ｵｲﾃﾞｵｲﾃﾞ	顔文字	おいで みんなの顔文字辞典
えー	(   ˙ㅿ˙   )	名詞	顔文字
かおもじ	(   ˙ㅿ˙   )	顔文字	かお みんなの顔文字辞典
@686	(   ˙ㅿ˙   )	名詞	かお みんなの顔文字辞典
かおもじ	(   ˙ㅿ˙   )	顔文字	かお みんなの顔文字辞典
きちがい	(  ՞ਊ ՞)	顔文字	
きちがい	(  ՞ਊ ՞)	顔文字	
きゅん	(  ›＿‹  )	名詞	顔文字
かおもじ	(  ›＿‹  )	顔文字	きゅん みんなの顔文字辞典
@700	(  ›＿‹  )	名詞	きゅん みんなの顔文字辞典
かおもじ	(  ›＿‹  )	顔文字	きゅん みんなの顔文字辞典
へへっ	(  ´＿`  )	名詞	顔文字
へへっ	(  ´＿`  )	名詞	へへっ みんなの顔文字辞典
かおもじ	(  ´＿`  )	顔文字	へへっ みんなの顔文字辞典
